original_class,has_person,person_bbox_xmin,person_bbox_ymin,person_bbox_xmax,person_bbox_ymax,has_cell_phone,cell_phone_bbox_xmin,cell_phone_bbox_ymin,cell_phone_bbox_xmax,cell_phone_bbox_ymax,has_bottle,bottle_bbox_xmin,bottle_bbox_ymin,bottle_bbox_xmax,bottle_bbox_ymax,head_pitch,head_yaw,head_roll,ear_left,ear_right
0,1,12,0,1587,1032,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,448,9,1788,1057,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,397,8,1808,1059,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,160,0,1644,1063,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-33.87017748513624,-65.40707858683807,-167.00979739681915,0.6565228343513754,0.30283231413349465
0,1,353,0,1604,1046,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-24.21735172499838,-68.52394592901791,-159.35004208194053,0.36881441595674447,0.1277378593489128
0,1,199,2,1608,1070,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,300,22,1560,1037,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,91,0,1775,1069,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-26.83938287774751,-67.33856536430625,177.75127646904926,0.6517846166833361,0.26878758156687427
0,1,27,2,1654,1056,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,8,0,1409,1058,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,405,0,1684,1057,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-28.689736377930544,-69.76578623268074,-150.51059154411155,0.4436329324194642,0.2518876497649546
0,1,14,11,1609,1067,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-42.27479525421072,66.59242894555501,98.7322708826592,1.1365317820507368,0.23967685328281563
0,1,79,6,1303,1071,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,13,0,1841,1072,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-35.560948292261855,-70.38215380834289,-163.3533466982374,0.7187364164905582,0.31405890693849237
0,1,150,3,1188,972,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,104,52,1471,1070,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,406,9,1600,1046,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-42.85467438562801,-70.88100870488054,-135.12818248183572,0.7325624497201733,0.07371018558588709
0,1,271,25,1472,1058,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,249,0,1540,1061,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,237,7,1647,1061,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,53,1,1264,1064,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-16.579298043024085,74.57795235728928,166.85120859068456,0.6295968514435298,0.1507152007887157
0,1,12,6,1611,1072,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-43.93300572621914,83.36113847345594,128.17412773378507,0.4329139051058419,0.4102242850864321
0,1,140,11,1195,928,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,278,3,1733,1067,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,262,39,1644,1056,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-17.081598499666008,-64.5373646061425,174.39767518123188,1.0891623461533904,0.10386722439004484
0,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,164,2,1458,1054,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-38.28529887855068,-66.45931887962735,-166.26369899731372,1.3182082838864198,0.18808008466357198
0,1,389,0,1632,1054,0,-1,-1,-1,-1,1,1120,928,1250,1079,0.0,0.0,0.0,0.0,0.0
0,1,160,1,1600,1065,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,87,1,1796,1065,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,337,0,1631,1055,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-24.71414508695253,-70.60936808861041,-167.26321242687823,1.2859751568371451,0.19891479884421487
0,1,48,0,1649,1064,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-20.86234050237764,78.61019930566475,141.61439255469472,0.45268005919971405,0.28685596551893705
0,1,259,3,1788,1057,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,84,0,1769,1063,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,48,3,1146,1066,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,207,1,1609,1064,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-50.40661766472547,-69.80357884597643,-150.7751226831007,1.0232010413265589,0.3200092594289277
0,1,31,1,1254,1070,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,348,77,1404,1065,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
0,1,6,0,1430,1064,0,-1,-1,-1,-1,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0.0
